Desert Eagle | Urban DDPAT,2,The Overpass Collection
Desert Eagle | Blaze,4,The Dust Collection
Desert Eagle | Night,2,The Chop Shop Collection
Desert Eagle | Hypnotic,5,CS:GO Weapon Case
Desert Eagle | Mudder,2,The Lake Collection
Desert Eagle | Golden Koi,6,Operation Bravo Case
Desert Eagle | Cobalt Disruption,5,eSports 2013 Winter Case
Desert Eagle | Crimson Web,4,eSports 2014 Summer Case
Desert Eagle | Urban Rubble,3,The Train Collection
Desert Eagle | Heirloom,4,CS:GO Weapon Case 3
Desert Eagle | Meteorite,3,The Bank Collection
Desert Eagle | Hand Cannon,4,The Cobblestone Collection
Desert Eagle | Pilot,4,The Baggage Collection
Desert Eagle | Conspiracy,5,Operation Breakout Weapon Case
Desert Eagle | Naga,4,Chroma Case
Desert Eagle | Bronze Deco,3,Chroma 2 Case
Desert Eagle | Midnight Storm,2,The Rising Sun Collection
Desert Eagle | Sunset Storm 壱,4,The Rising Sun Collection
Desert Eagle | Sunset Storm 弐,4,The Rising Sun Collection
Desert Eagle | Corinthian,3,Revolver Case
Desert Eagle | Kumicho Dragon,5,Operation Wildfire Case
Desert Eagle | Directive,4,Gamma 2 Case
Desert Eagle | Oxide Blaze,3,Spectrum Case
Desert Eagle | Code Red,6,Horizon Case
Desert Eagle | Emerald Jörmungandr,4,The Norse Collection
Desert Eagle | Mecha Industries,5,Danger Zone Case
Desert Eagle | Light Rail,4,Prisma Case
Desert Eagle | Blue Ply,3,Prisma 2 Case
Dual Berettas | Anodized Navy,3
Dual Berettas | Balance,3
Dual Berettas | Black Limba,3
Dual Berettas | Briar,1
Dual Berettas | Cartel,3
Dual Berettas | Cobalt Quartz,4
Dual Berettas | Cobra Strike,5
Dual Berettas | Colony,1
Dual Berettas | Contractor,1
Dual Berettas | Demolition,4
Dual Berettas | Dualing Dragons,3
Dual Berettas | Duelist,4
Dual Berettas | Elite 1.6,3
Dual Berettas | Emerald,3
Dual Berettas | Hemoglobin,4
Dual Berettas | Marina,4
Dual Berettas | Moon in Libra,1
Dual Berettas | Panther,3
Dual Berettas | Pyre,2
Dual Berettas | Retribution,3
Dual Berettas | Royal Consorts,4
Dual Berettas | Shred,3
Dual Berettas | Stained,2
Dual Berettas | Twin Turbo,5
Dual Berettas | Urban Shock,4
Dual Berettas | Ventilators,3
Five-SeveN | Angry Mob,6
Five-SeveN | Anodized Gunmetal,1
Five-SeveN | Buddy,4
Five-SeveN | Candy Apple,2
Five-SeveN | Capillary,3
Five-SeveN | Case Hardened,4
Five-SeveN | Contractor,1
Five-SeveN | Coolant,1
Five-SeveN | Copper Galaxy,4
Five-SeveN | Crimson Blossom,3
Five-SeveN | Flame Test,3
Five-SeveN | Forest Night,1
Five-SeveN | Fowl Play,5
Five-SeveN | Hot Shot,2
Five-SeveN | Hyper Beast,6
Five-SeveN | Jungle,1
Five-SeveN | Kami,3
Five-SeveN | Monkey Business,5
Five-SeveN | Neon Kimono,4
Five-SeveN | Nightshade,3
Five-SeveN | Nitro,3
Five-SeveN | Orange Peel,2
Five-SeveN | Retrobution,4
Five-SeveN | Scumbria,3
Five-SeveN | Silver Quartz,3
Five-SeveN | Triumvirate,4
Five-SeveN | Urban Hazard,3
Five-SeveN | Violent Daimyo,3
Glock-18 | Blue Fissure,3
Glock-18 | Brass,4
Glock-18 | Bullet Queen,6
Glock-18 | Bunsen Burner,3
Glock-18 | Candy Apple,3
Glock-18 | Catacombs,3
Glock-18 | Death Rattle,2
Glock-18 | Dragon Tattoo,4
Glock-18 | Fade,4
Glock-18 | Grinder,4
Glock-18 | Groundwater,2
Glock-18 | High Beam,2
Glock-18 | Ironwork,3
Glock-18 | Moonrise,4
Glock-18 | Night,2
Glock-18 | Nuclear Garden,4
Glock-18 | Off World,3
