Desert Eagle | Blaze,4,0.00,0.08
Desert Eagle | Blue Ply,3,0.00,1.00
Desert Eagle | Bronze Deco,3,0.00,1.00
Desert Eagle | Cobalt Disruption,5,0.00,1.00
Desert Eagle | Code Red,6,0.00,1.00
Desert Eagle | Conspiracy,5,0.00,1.00
Desert Eagle | Corinthian,3,0.00,0.44
Desert Eagle | Crimson Web,4,0.00,1.00
Desert Eagle | Directive,4,0.06,1.00
Desert Eagle | Emerald Jörmungandr,4,0.00,1.00
Desert Eagle | Golden Koi,6,0.00,0.12
Desert Eagle | Hand Cannon,4,0.00,1.00
Desert Eagle | Heirloom,4,0.00,0.80
Desert Eagle | Hypnotic,5,0.00,0.08
Desert Eagle | Kumicho Dragon,5,0.00,1.00
Desert Eagle | Light Rail,4,0.00,0.90
Desert Eagle | Mecha Industries,5,0.00,1.00
Desert Eagle | Meteorite,3,0.00,0.18
Desert Eagle | Midnight Storm,2,0.00,1.00
Desert Eagle | Mudder,2,0.00,1.00
Desert Eagle | Naga,4,0.00,1.00
Desert Eagle | Night,2,0.00,1.00
Desert Eagle | Oxide Blaze,3,0.00,1.00
Desert Eagle | Pilot,4,0.00,1.00
Desert Eagle | Sunset Storm 壱,4,0.00,0.75
Desert Eagle | Sunset Storm 弐,4,0.00,1.00
Desert Eagle | Urban DDPAT,2,0.00,1.00
Desert Eagle | Urban Rubble,3,0.00,1.00
Dual Berettas | Anodized Navy,3,0.00,1.00
Dual Berettas | Balance,3,0.00,1.00
Dual Berettas | Black Limba,3,0.00,1.00
Dual Berettas | Briar,1,0.00,1.00
Dual Berettas | Cartel,3,0.00,1.00
Dual Berettas | Cobalt Quartz,4,0.00,1.00
Dual Berettas | Cobra Strike,5,0.00,0.60
Dual Berettas | Colony,1,0.00,1.00
Dual Berettas | Contractor,1,0.00,1.00
Dual Berettas | Demolition,4,0.00,1.00
Dual Berettas | Dualing Dragons,3,0.00,1.00
Dual Berettas | Duelist,4,0.00,1.00
Dual Berettas | Elite 1.6,3,0.00,0.70
Dual Berettas | Emerald,3,0.00,1.00
Dual Berettas | Hemoglobin,4,0.00,0.20
Dual Berettas | Marina,4,0.05,0.50
Dual Berettas | Moon in Libra,1,0.00,0.50
Dual Berettas | Panther,3,0.00,1.00
Dual Berettas | Pyre,2,0.00,1.00
Dual Berettas | Retribution,3,0.00,1.00
Dual Berettas | Royal Consorts,4,0.00,1.00
Dual Berettas | Shred,3,0.00,1.00
Dual Berettas | Stained,2,0.00,1.00
Dual Berettas | Twin Turbo,5,0.00,1.00
Dual Berettas | Urban Shock,4,0.00,0.47
Dual Berettas | Ventilators,3,0.00,1.00
Five-SeveN | Angry Mob,6,0.00,0.70
Five-SeveN | Anodized Gunmetal,1,0.00,0.08
Five-SeveN | Buddy,4,0.00,1.00
Five-SeveN | Candy Apple,2,0.00,0.30
Five-SeveN | Capillary,3,0.00,0.70
Five-SeveN | Case Hardened,4,0.00,1.00
Five-SeveN | Contractor,1,0.00,1.00
Five-SeveN | Coolant,1,0.00,0.50
Five-SeveN | Copper Galaxy,4,0.00,1.00
Five-SeveN | Crimson Blossom,3,0.00,0.50
Five-SeveN | Flame Test,3,0.00,0.65
Five-SeveN | Forest Night,1,0.00,1.00
Five-SeveN | Fowl Play,5,0.00,1.00
Five-SeveN | Hot Shot,2,0.00,1.00
Five-SeveN | Hyper Beast,6,0.00,1.00
Five-SeveN | Jungle,1,0.00,1.00
Five-SeveN | Kami,3,0.00,0.30
Five-SeveN | Monkey Business,5,0.00,1.00
Five-SeveN | Neon Kimono,4,0.00,1.00
Five-SeveN | Nightshade,3,0.00,1.00
Five-SeveN | Nitro,3,0.00,1.00
Five-SeveN | Orange Peel,2,0.00,1.00
Five-SeveN | Retrobution,4,0.00,1.00
Five-SeveN | Scumbria,3,0.00,1.00
Five-SeveN | Silver Quartz,3,0.00,0.40
Five-SeveN | Triumvirate,4,0.00,0.61
Five-SeveN | Urban Hazard,3,0.00,1.00
Five-SeveN | Violent Daimyo,3,0.00,1.00
Glock-18 | Blue Fissure,3,0.00,1.00
Glock-18 | Brass,4,0.00,1.00
Glock-18 | Bullet Queen,6,0.00,1.00
Glock-18 | Bunsen Burner,3,0.00,0.80
Glock-18 | Candy Apple,3,0.00,0.30
Glock-18 | Catacombs,3,0.00,1.00
Glock-18 | Death Rattle,2,0.00,1.00
Glock-18 | Dragon Tattoo,4,0.00,0.08
Glock-18 | Fade,4,0.00,1.00
Glock-18 | Grinder,4,0.00,1.00
Glock-18 | Groundwater,2,0.00,1.00
Glock-18 | High Beam,2,0.00,1.00
Glock-18 | Ironwork,3,0.00,1.00
Glock-18 | Moonrise,4,0.00,1.00
Glock-18 | Night,2,0.00,1.00
